type,module,path,symbol,message,message-id
error,c8c101fa-aaae-4953-ac4f-f81b66d88783_0,Python/c8c101fa-aaae-4953-ac4f-f81b66d88783_0.py,syntax-error,"Parsing failed: 'expected an indented block after 'except' statement on line 8 (<unknown>, line 12)'",E0001
error,a3634550-9752-479e-937a-b3db80c88449_2,Python/a3634550-9752-479e-937a-b3db80c88449_2.py,syntax-error,"Parsing failed: 'invalid syntax (<unknown>, line 7)'",E0001
error,ba7477cb-efbc-4109-be1b-c3fd59e025b8_0,Python/ba7477cb-efbc-4109-be1b-c3fd59e025b8_0.py,syntax-error,"Parsing failed: 'expected an indented block after function definition on line 10 (<unknown>, line 13)'",E0001
error,2afa2d75-0333-4197-925a-e46d4088ae49_0,Python/2afa2d75-0333-4197-925a-e46d4088ae49_0.py,syntax-error,"Parsing failed: 'expected an indented block after function definition on line 14 (<unknown>, line 17)'",E0001
error,2afa2d75-0333-4197-925a-e46d4088ae49_1,Python/2afa2d75-0333-4197-925a-e46d4088ae49_1.py,syntax-error,"Parsing failed: 'expected an indented block after 'for' statement on line 26 (<unknown>, line 28)'",E0001
error,2afa2d75-0333-4197-925a-e46d4088ae49_2,Python/2afa2d75-0333-4197-925a-e46d4088ae49_2.py,syntax-error,"Parsing failed: 'expected an indented block after 'for' statement on line 15 (<unknown>, line 17)'",E0001
error,8342213e-6c3b-4f62-a9a6-bf8152342552_1,Python/8342213e-6c3b-4f62-a9a6-bf8152342552_1.py,syntax-error,"Parsing failed: 'expected an indented block after 'try' statement on line 2 (<unknown>, line 4)'",E0001
error,8342213e-6c3b-4f62-a9a6-bf8152342552_2,Python/8342213e-6c3b-4f62-a9a6-bf8152342552_2.py,syntax-error,"Parsing failed: 'invalid syntax. Perhaps you forgot a comma? (<unknown>, line 2)'",E0001
error,8342213e-6c3b-4f62-a9a6-bf8152342552_3,Python/8342213e-6c3b-4f62-a9a6-bf8152342552_3.py,syntax-error,"Parsing failed: 'invalid syntax. Perhaps you forgot a comma? (<unknown>, line 2)'",E0001
error,6a5bd9ed-f67f-4c32-a5d7-96e06de1255d_0,Python/6a5bd9ed-f67f-4c32-a5d7-96e06de1255d_0.py,syntax-error,"Parsing failed: 'invalid syntax (<unknown>, line 1)'",E0001
error,6a5bd9ed-f67f-4c32-a5d7-96e06de1255d_2,Python/6a5bd9ed-f67f-4c32-a5d7-96e06de1255d_2.py,syntax-error,"Parsing failed: 'illegal target for annotation (<unknown>, line 1)'",E0001
error,6a5bd9ed-f67f-4c32-a5d7-96e06de1255d_3,Python/6a5bd9ed-f67f-4c32-a5d7-96e06de1255d_3.py,syntax-error,"Parsing failed: 'illegal target for annotation (<unknown>, line 1)'",E0001
error,2d026c56-7b00-490e-b7fd-62a76c7e49c2_1,Python/2d026c56-7b00-490e-b7fd-62a76c7e49c2_1.py,syntax-error,"Parsing failed: 'expected an indented block after function definition on line 1 (<unknown>, line 2)'",E0001
error,5aa98435-86a2-482f-ab7f-0d2c13522de3_3,Python/5aa98435-86a2-482f-ab7f-0d2c13522de3_3.py,syntax-error,"Parsing failed: 'expected an indented block after 'for' statement on line 1 (<unknown>, line 3)'",E0001
