Project_name,Smell_Type,Extra_Info,Message,Message_Description,Message_Type,Project_specific_info,Path,S_Line,S_Col,E_Line,E_Col
SpringbooJPA,Advisory,,Missing Javadoc for public type,A public class or interface that does not have a Javadoc comment affects maintainability.,recommendation,This type does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java,18,14,18,29
SpringbooJPA,Advisory,,Missing Javadoc for public type,A public class or interface that does not have a Javadoc comment affects maintainability.,recommendation,This type does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/exception/IllegalNameException.java,3,14,3,33
SpringbooJPA,Advisory,,Missing Javadoc for public type,A public class or interface that does not have a Javadoc comment affects maintainability.,recommendation,This type does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java,22,14,22,21
SpringbooJPA,Advisory,,Missing Javadoc for public type,A public class or interface that does not have a Javadoc comment affects maintainability.,recommendation,This type does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/domain/CustomerRepository.java,5,18,5,35
SpringbooJPA,Advisory,,Missing Javadoc for public method or constructor,A public method or constructor that does not have a Javadoc comment affects maintainability.,recommendation,This method does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/JpaIntroApplication.java,9,24,9,27
SpringbooJPA,Advisory,,Missing Javadoc for public method or constructor,A public method or constructor that does not have a Javadoc comment affects maintainability.,recommendation,This method does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java,21,23,21,32
SpringbooJPA,Advisory,,Missing Javadoc for public method or constructor,A public method or constructor that does not have a Javadoc comment affects maintainability.,recommendation,This method does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java,32,29,32,44
SpringbooJPA,Advisory,,Missing Javadoc for public method or constructor,A public method or constructor that does not have a Javadoc comment affects maintainability.,recommendation,This method does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java,42,51,42,70
SpringbooJPA,Advisory,,Missing Javadoc for public method or constructor,A public method or constructor that does not have a Javadoc comment affects maintainability.,recommendation,This method does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java,58,39,58,56
SpringbooJPA,Advisory,,Missing Javadoc for public method or constructor,A public method or constructor that does not have a Javadoc comment affects maintainability.,recommendation,This constructor does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java,31,12,31,19
SpringbooJPA,Advisory,,Missing Javadoc for public method or constructor,A public method or constructor that does not have a Javadoc comment affects maintainability.,recommendation,This method does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java,39,17,39,31
SpringbooJPA,Advisory,,Missing Javadoc for public method or constructor,A public method or constructor that does not have a Javadoc comment affects maintainability.,recommendation,This method does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java,44,17,44,30
SpringbooJPA,Advisory,,Missing Javadoc for public method or constructor,A public method or constructor that does not have a Javadoc comment affects maintainability.,recommendation,This constructor does not have a non-trivial Javadoc comment.,/src/main/java/kr/co/prgrms/jpaintro/exception/IllegalNameException.java,4,12,4,31
SpringbooJPA,Advisory,,Non-final immutable field,"A field of immutable type that is assigned to only in a constructor or static initializer of its declaring type, but is not declared 'final', may lead to defects and makes code less readable.",recommendation,This immutable field is not declared final but is only assigned to during initialization.,/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java,25,18,25,19
SpringbooJPA,DeadCode,,Dead method,Dead methods add unnecessary complexity.,recommendation,The method beforeAll is entirely unused.,/src/test/java/kr/co/prgrms/jpaintro/domain/CustomerRepositoryTest.java,26,10,26,18
SpringbooJPA,DeadCode,,Dead class,Dead classes add unnecessary complexity.,recommendation,The class CustomerRepository is entirely unused.,/src/main/java/kr/co/prgrms/jpaintro/domain/CustomerRepository.java,5,18,5,35
Core,Language_Abuse,,Useless null check,Checking whether an expression is null when that expression cannot possibly be null is useless.,warning,"This check is useless. [[""primaryKey""|""relative:///dotCMS/src/main/java/com/dotmarketing/common/db/DotDatabaseMetaData.java:467:29:467:38""]] cannot be null at this check, since [[""new PrimaryKey(...)""|""relative:///dotCMS/src/main/java/com/dotmarketing/common/db/DotDatabaseMetaData.java:462:34:462:80""]] always is non-null.",/dotCMS/src/main/java/com/dotmarketing/common/db/DotDatabaseMetaData.java,467,29,467,46
Core,Language_Abuse,,Chain of 'instanceof' tests,Long sequences of type tests on a variable are difficult to maintain.,recommendation,"This if block performs a chain of 7 type tests - consider alternatives, e.g. polymorphism or the visitor pattern.",/dotCMS/src/main/java/com/dotmarketing/portlets/workflows/business/WorkflowFactoryImpl.java,201,9,201,42
Core,Performance,,Inner class could be static,"A non-static nested class keeps a reference to the enclosing object, which makes the nested class bigger and may cause a memory leak.",recommendation,"Restarter should be made static, since the enclosing instance is not used.",/dotCMS/src/main/java/com/dotcms/rest/api/v1/maintenance/ClusterManagementTopic.java,93,17,93,25
Core,Performance,,Inner class could be static,"A non-static nested class keeps a reference to the enclosing object, which makes the nested class bigger and may cause a memory leak.",recommendation,"InitThread should be made static, since the enclosing instance is not used.",/dotCMS/src/main/java/com/dotmarketing/servlets/InitServlet.java,299,19,299,28
Core,Performance,,Inefficient empty string test,Checking a string for equality with an empty string is inefficient.,recommendation,"Inefficient comparison to empty string, check for zero length instead.",/dotCMS/src/main/java/com/dotmarketing/portlets/workflows/business/WorkflowFactoryImpl.java,1202,22,1202,43
Core,Performance,,String concatenation in loop,Performing string concatenation in a loop that iterates many times may affect performance.,warning,The string rolesString is built-up in a loop: use string buffer.,/dotCMS/src/main/java/com/dotmarketing/portlets/workflows/business/WorkflowFactoryImpl.java,1203,21,1203,38
Core,Performance,,String concatenation in loop,Performing string concatenation in a loop that iterates many times may affect performance.,warning,The string rolesString is built-up in a loop: use string buffer.,/dotCMS/src/main/java/com/dotmarketing/portlets/workflows/business/WorkflowFactoryImpl.java,1205,17,1205,55
Core,Security,CWE-190,User-controlled data in arithmetic expression,Arithmetic operations on user-controlled data that is not validated can cause overflows.,warning,"This arithmetic expression depends on a [[""user-provided value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:557:13:557:46""]], potentially causing an overflow.
This arithmetic expression depends on a [[""user-provided value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:557:13:557:46""]], potentially causing an overflow.
This arithmetic expression depends on a [[""user-provided value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/content/ContentResource.java:428:32:428:68""]], potentially causing an overflow.
This arithmetic expression depends on a [[""user-provided value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/content/ContentResource.java:428:32:428:68""]], potentially causing an overflow.",/dotCMS/src/main/java/com/dotcms/content/elasticsearch/business/ESContentletAPIImpl.java,2116,54,2116,67
Core,Security,CWE-190,User-controlled data in arithmetic expression,Arithmetic operations on user-controlled data that is not validated can cause overflows.,warning,"This arithmetic expression depends on a [[""user-provided value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:557:13:557:46""]], potentially causing an overflow.
This arithmetic expression depends on a [[""user-provided value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:557:13:557:46""]], potentially causing an overflow.
This arithmetic expression depends on a [[""user-provided value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/content/ContentResource.java:428:32:428:68""]], potentially causing an overflow.
This arithmetic expression depends on a [[""user-provided value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/api/v1/content/ContentResource.java:428:32:428:68""]], potentially causing an overflow.",/dotCMS/src/main/java/com/dotcms/content/elasticsearch/business/ESContentletAPIImpl.java,2118,50,2118,63
Core,Security,CWE-190,Local-user-controlled data in arithmetic expression,Arithmetic operations on user-controlled data that is not validated can cause overflows.,recommendation,"This arithmetic expression depends on a [[""user-provided value""|""relative:///dotCMS/src/main/java/com/dotmarketing/common/db/DotConnect.java:759:41:759:55""]], potentially causing an underflow.",/dotCMS/src/main/java/com/dotmarketing/portlets/workflows/business/WorkflowFactoryImpl.java,530,16,530,29
