type,module,path,symbol,message,message-id
convention,llm.plugins,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/plugins.py,missing-module-docstring,Missing module docstring,C0114
error,llm.plugins,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/plugins.py,import-error,Unable to import 'pluggy',E0401
convention,llm.plugins,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/plugins.py,wrong-import-order,"standard import ""import sys"" should be placed before ""import pluggy""",C0411
convention,llm.hookspecs,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/hookspecs.py,missing-module-docstring,Missing module docstring,C0114
error,llm.hookspecs,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/hookspecs.py,import-error,Unable to import 'pluggy',E0401
error,llm.hookspecs,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/hookspecs.py,import-error,Unable to import 'pluggy',E0401
warning,llm.hookspecs,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/hookspecs.py,unused-argument,Unused argument 'cli',W0613
warning,llm.hookspecs,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/hookspecs.py,unused-argument,Unused argument 'register',W0613
warning,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,fixme,TODO,W0511
warning,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,fixme,TODO,W0511
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-module-docstring,Missing module docstring,C0114
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-class-docstring,Missing class docstring,C0115
refactor,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,too-many-arguments,Too many arguments (6/5),R0913
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-class-docstring,Missing class docstring,C0115
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-class-docstring,Missing class docstring,C0115
refactor,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,too-many-instance-attributes,Too many instance attributes (9/7),R0902
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-class-docstring,Missing class docstring,C0115
refactor,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,too-many-instance-attributes,Too many instance attributes (10/7),R0902
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
refactor,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,inconsistent-return-statements,"Either all return statements in a function should return an expression, or none of them should.",R1710
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
convention,llm.models,/Users/jiahao/Desktop/Code/DevGPT-Study/results/RQ2_Commit_Tree/simonw_llm_PR_65_commit_tree/llm/models.py,missing-function-docstring,Missing function or method docstring,C0116
